Al,Sb,As,Ba,Be,Cd,Ca,Cr,Cr,Co,Cu,Fe,Pb,Mg,Mn,Hg,Mo,Ni,NITRITE_NITRATE_UG_G_DRY,N,P,K,Se,Ag,Na,Na,Sr,S,Tl,Ti,U,V,Zn
7920,0.1,1.8,24.1,0.3,0.11,16860.0,0.5,11.0,3.8,7.0,13980,13,4320,392,0.03,0.05,5.5,26.5,200000.0,0.65,995,0.12,0.12,0.21,188,27,54000.0,1.2,2950,0.7,23,35
10960,0.4,2.5,31.1,0.3,0.16,4870.0,0.5,12.0,3.5,8.0,11790,24,1783,136,0.05,0.05,5.3,7.4,220000.0,0.71,1492,0.3,0.11,0.78,134,17,63000.0,0.5,2680,0.7,20,42
9960,0.05,2.4,31.0,0.3,0.19,4360.0,0.5,11.0,3.4,8.0,11470,22,1694,128,0.05,0.05,4.8,5.3,230000.0,0.72,1420,0.3,0.06,0.68,131,15,65000.0,0.5,2640,0.7,20,41
10500,0.2,3.4,29.7,0.3,0.14,3940.0,0.5,11.0,3.5,7.0,11590,24,1600,138,0.05,0.05,5.0,5.5,230000.0,0.71,1350,0.09,0.17,0.63,120,13,73000.0,0.5,2610,0.7,20,40
32200,0.12,4.5,129.0,1.1,0.22,7690.0,0.5,37.0,13.8,19.0,34900,30,7680,849,0.06,0.05,21.1,5.8,410000.0,0.79,7060,0.4,0.21,0.22,128,48,94000.0,0.5,4010,1.2,52,91
29400,0.2,5.5,119.0,1.0,0.28,7890.0,0.5,35.0,12.8,17.0,33900,30,7200,812,0.06,0.05,20.0,6.3,520000.0,0.9,6660,0.4,0.2,0.186,116,47,99000.0,0.5,3890,1.2,49,93
28200,0.05,4.7,116.0,1.0,0.21,7990.0,0.5,31.0,11.2,17.0,32100,28,6870,742,0.06,0.05,17.4,5.5,440000.0,0.78,6220,0.4,0.2,0.2,117,43,89000.0,0.5,4020,1.1,46,80
10700,0.6,3.6,34.6,0.4,0.21,2260.0,0.5,14.0,5.5,25.0,16600,22,2670,740,0.03,0.05,9.8,8.2,140000.0,0.69,2210,0.11,0.06,0.182,83,10,50000.0,0.5,2800,0.8,23,57
10600,0.3,4.9,38.8,0.4,0.22,2570.0,0.5,14.0,5.6,26.0,17100,22,2790,762,0.02,0.05,9.7,8.8,130000.0,0.67,2490,0.05,0.12,0.147,107,12,36000.0,0.5,2640,0.7,24,56
10800,0.08,5.2,37.6,0.4,0.2,2230.0,0.5,13.0,5.5,26.0,16300,24,2650,730,0.03,0.05,9.6,12.4,130000.0,0.7,2100,0.05,0.08,0.164,88,11,34000.0,0.5,2760,0.8,23,59
30000,0.05,7.0,161.0,1.2,0.69,7360.0,0.5,31.0,19.2,18.0,29400,44,7390,2710,0.1,0.05,21.6,34.3,330000.0,0.85,5080,0.6,0.24,0.25,77,35,82000.0,0.5,5030,1.2,45,116
28900,0.05,7.7,164.0,1.1,0.78,6690.0,0.5,30.0,16.9,18.0,28600,40,7580,2570,0.13,0.05,23.3,19.2,330000.0,0.92,5060,0.5,0.23,0.28,79,31,82000.0,0.5,5370,1.3,4,114
31900,0.08,7.5,182.0,1.3,0.89,7360.0,0.5,36.0,20.8,18.0,31200,46,8010,3190,0.14,0.2,26.2,24.4,370000.0,0.97,5230,0.3,0.25,0.27,3,34,65000.0,0.5,4940,1.3,47,134
10600,0.12,2.3,35.6,0.3,0.21,2670.0,0.5,14.0,4.5,5.0,15700,16,1788,371,0.06,0.05,6.4,6.2,140000.0,0.4,906,0.3,0.06,0.23,99,10,46000.0,0.5,3900,0.7,26,45
10400,0.05,2.8,31.5,0.2,0.18,2200.0,0.5,12.0,4.1,5.0,15400,17,1572,306,0.07,0.05,5.6,4.5,140000.0,0.37,746,0.2,0.17,0.23,90,9,52000.0,0.5,3560,0.6,23,43
13140,0.05,3.0,83.0,0.5,0.58,10560.0,0.5,18.0,5.9,15.0,21100,33,5050,1651,0.1,0.05,9.5,12.4,350000.0,1.02,1581,0.3,0.21,0.086,112,16,45000.0,0.5,3260,0.6,32,121
14430,0.1,3.5,102.0,0.6,0.64,10010.0,0.5,18.0,6.1,15.0,21700,36,4300,2120,0.12,0.05,10.0,9.5,300000.0,0.91,1692,0.4,0.2,0.09,114,17,55000.0,0.5,3010,0.7,31,130
12360,0.05,3.1,81.6,0.5,0.61,26200.0,0.5,18.0,5.5,17.0,21300,30,9820,1709,0.09,0.05,9.7,11.1,290000.0,0.94,1817,0.3,0.22,0.083,133,27,52000.0,0.5,3690,0.8,32,115
17290,0.4,9.0,67.0,0.4,0.36,1286.0,0.5,18.0,5.2,25.0,20300,62,1764,932,0.24,0.7,49.4,28.6,400000.0,1.42,1101,2.0,0.27,0.187,41,8,98000.0,0.5,3720,0.7,28,107
16790,0.12,7.0,84.3,0.4,0.46,1532.0,0.5,19.0,6.0,25.0,18160,70,2020,1094,0.25,0.6,49.3,30.5,430000.0,1.42,1422,1.6,0.27,0.2,46,9,101000.0,0.5,3920,0.8,29,132
19860,0.05,4.6,88.9,0.5,0.42,1429.0,0.5,24.0,7.1,25.0,21300,59,2640,1112,0.23,0.5,45.9,28.9,380000.0,1.44,1935,1.0,0.27,0.151,68,10,68000.0,0.5,4150,0.7,36,133
15260,0.05,5.4,78.6,0.5,0.66,37600.0,0.5,18.0,6.3,28.0,23700,47,15590,1245,0.12,0.08,10.6,7.7,520000.0,0.97,2400,0.6,0.02,0.043,150,36,29000.0,0.8,2590,0.7,28,120
16490,0.1,4.9,68.9,0.5,0.42,29600.0,0.5,20.0,6.5,22.0,25700,41,11270,646,0.09,0.05,10.7,6.1,520000.0,0.97,1975,0.4,0.02,0.034,190,33,40000.0,0.5,2980,0.6,33,104
14600,0.08,15.2,77.3,0.5,0.62,40500.0,0.5,18.0,6.3,28.0,23900,51,15160,1092,0.12,0.05,11.8,12.9,630000.0,0.95,2280,1.0,0.09,0.045,131,40,48000.0,0.5,2420,0.8,27,128
10390,0.08,5.3,33.3,0.4,0.26,7550.0,0.5,15.0,4.7,7.0,16040,32,3230,416,0.05,0.05,6.4,6.6,240000.0,0.51,877,0.5,0.13,0.34,175,13,36000.0,0.5,3790,0.7,29,64
9270,0.3,5.1,30.9,0.4,0.3,7330.0,0.5,13.0,4.2,7.0,14920,33,3000,377,0.06,0.07,6.3,5.0,210000.0,0.49,753,0.5,0.09,0.39,158,12,27000.0,0.5,3240,0.5,25,60
10140,0.4,5.7,34.2,0.4,0.28,8230.0,0.5,14.0,4.3,8.0,16140,31,3410,410,0.05,0.05,6.3,5.6,240000.0,0.51,822,0.6,0.09,0.43,166,13,30000.0,0.5,3190,0.8,27,63
15710,0.12,3.2,58.0,0.5,0.38,11940.0,0.5,21.0,6.4,13.0,20800,21,6710,598,0.08,0.05,9.8,6.2,240000.0,0.67,1579,0.4,0.02,0.041,181,17,38000.0,0.5,3330,0.8,34,53
15650,0.18,2.6,55.4,0.5,0.33,8420.0,0.5,20.0,6.1,11.0,20900,22,4200,585,0.08,0.15,9.3,6.8,260000.0,0.6,1463,0.4,0.02,0.035,168,16,34000.0,0.5,3320,0.7,34,56
14920,0.05,2.8,50.1,0.5,0.35,9040.0,0.5,20.0,5.9,9.0,20200,20,4280,571,0.07,0.05,8.7,6.6,280000.0,0.6,1192,0.4,0.02,0.035,146,14,43000.0,0.6,3340,0.7,33,58
12060,0.05,2.5,52.2,0.4,0.23,20700.0,0.5,17.0,5.5,13.0,19170,32,6690,568,0.08,0.05,8.6,6.3,240000.0,0.77,1988,0.3,0.18,0.126,162,26,35000.0,0.5,3150,0.7,30,58
11790,0.4,2.5,47.8,0.4,0.23,20000.0,0.5,16.0,5.2,13.0,17720,30,6580,547,0.07,0.05,8.4,3.7,230000.0,0.72,1884,0.3,0.15,0.098,141,27,40000.0,0.5,3210,0.8,27,56
11430,0.05,2.2,50.3,0.4,0.23,18920.0,0.5,16.0,5.3,13.0,16860,34,6560,526,0.09,0.05,8.7,6.9,250000.0,0.76,1788,0.2,0.27,0.093,132,26,45000.0,0.5,3380,0.8,27,59
9110,0.05,2.9,50.3,0.4,0.32,5120.0,0.5,16.0,4.4,11.0,18200,51,2110,578,0.06,0.05,7.2,24.9,280000.0,0.66,690,0.4,0.36,0.088,86,16,51000.0,0.5,4020,0.6,32,82
9850,0.1,3.1,58.5,0.4,0.37,5670.0,0.5,17.0,5.0,12.0,20300,55,2410,641,0.06,0.05,7.3,18.7,280000.0,0.67,798,0.4,0.18,0.045,112,18,58000.0,0.5,4570,0.6,38,88
14720,0.1,17.0,58.4,0.6,0.59,37300.0,0.5,21.0,6.0,15.0,20800,44,22000,742,0.09,0.3,10.4,17.8,370000.0,0.88,2360,0.8,0.21,0.047,156,21,35000.0,0.5,2790,1.0,31,161
14090,0.05,10.1,56.3,0.6,0.59,39600.0,0.5,20.0,5.7,15.0,19020,42,23100,756,0.1,0.11,9.8,19.1,380000.0,0.97,2160,0.6,0.17,0.05,144,22,43000.0,0.5,2990,1.0,29,147
15320,0.05,13.2,59.9,0.6,0.57,39300.0,0.5,22.0,6.1,16.0,21000,43,22800,762,0.1,0.3,10.2,20.8,330000.0,0.91,2700,0.7,0.17,0.053,207,25,24000.0,0.5,3120,1.1,33,148
11400,0.2,3.2,66.6,0.4,0.43,26200.0,0.5,24.0,5.7,22.0,17890,51,13000,456,0.11,0.6,7.8,19.2,210000.0,1.0,2370,0.4,0.32,0.169,126,27,75000.0,0.5,3150,0.9,24,124
11010,0.05,4.4,74.3,0.5,0.47,26500.0,0.5,24.0,5.9,24.0,18600,57,12670,488,0.11,0.5,7.6,19.6,210000.0,1.11,2380,0.5,0.3,0.188,125,26,77000.0,0.5,3310,0.9,24,131
12080,0.1,4.7,78.6,0.5,0.49,24600.0,0.5,25.0,6.2,25.0,19700,54,12370,490,0.14,0.5,7.6,24.7,200000.0,1.23,2730,0.4,0.37,0.23,127,28,75000.0,0.8,3410,0.9,25,136
18850,0.2,7.7,89.3,0.7,0.39,45200.0,0.5,32.0,9.3,30.0,26800,63,15840,741,0.22,0.6,29.6,16.5,320000.0,1.14,5180,0.5,0.34,0.167,187,58,116000.0,0.5,4020,1.1,32,104
17760,0.05,8.3,87.7,0.8,0.36,38700.0,0.5,33.0,10.1,35.0,29100,59,13980,753,0.23,0.5,30.6,16.3,310000.0,1.2,4560,0.6,0.33,0.21,167,53,100000.0,0.6,3910,1.1,32,107
18480,0.05,8.2,83.9,0.7,0.34,50900.0,0.5,34.0,9.9,33.0,27200,61,17340,783,0.24,0.8,29.7,16.6,320000.0,1.17,5250,0.5,0.32,0.21,193,51,100000.0,0.5,3780,1.1,32,99
19700,0.05,7.3,101.0,0.8,0.32,8290.0,0.5,25.0,18.6,95.0,25800,37,6240,504,0.07,0.07,656.0,5.1,300000.0,0.81,3410,1.7,0.41,0.168,84,20,77000.0,0.5,3860,0.9,29,104
21400,0.05,7.4,105.0,0.9,0.31,8430.0,0.5,26.0,18.3,97.0,26500,38,6250,477,0.08,0.13,728.0,5.8,290000.0,0.79,3920,2.0,0.39,0.184,96,21,82000.0,0.5,3630,0.9,32,104
22200,0.12,7.2,109.0,0.9,0.33,10470.0,0.5,27.0,20.4,102.0,26800,41,6710,536,0.09,0.1,734.0,4.9,300000.0,0.81,4390,1.8,0.41,0.186,111,24,76000.0,0.5,3670,0.9,33,107
11500,0.15,2.8,43.7,0.4,0.26,18430.0,0.5,17.0,5.1,11.0,20000,21,8360,659,0.02,0.05,7.8,1.7,190000.0,0.77,1416,0.15,0.19,0.097,123,20,40000.0,0.5,3850,0.8,32,77
11450,0.05,2.6,45.3,0.4,0.26,20400.0,0.5,18.0,5.2,11.0,19780,22,9110,674,0.04,0.05,7.6,1.2,190000.0,0.78,1562,0.13,0.2,0.109,140,22,40000.0,0.5,3820,0.8,33,77
11250,0.05,2.9,43.7,0.4,0.29,20400.0,0.5,17.0,5.0,12.0,19840,22,9130,663,0.03,0.13,7.6,1.6,210000.0,0.8,1544,0.17,0.19,0.064,139,20,46000.0,0.5,3710,0.8,32,80
9900,0.2,9.6,36.0,0.4,0.34,1364.0,0.5,22.0,5.5,25.0,21000,81,2000,516,0.11,0.3,10.3,11.4,100000.0,0.9,1159,0.4,0.18,0.086,63,9,54000.0,0.5,4180,1.1,32,116
10870,0.08,8.5,40.1,0.5,0.47,1619.0,0.5,22.0,5.8,26.0,21800,96,2100,622,0.14,0.4,11.8,14.0,110000.0,0.83,1259,0.3,0.17,0.23,69,9,51000.0,0.5,3790,1.0,33,146
10380,0.4,9.7,35.4,0.4,0.32,1381.0,0.5,20.0,5.2,24.0,21900,81,2000,527,0.12,0.3,13.3,11.6,90000.0,0.81,1202,0.12,0.16,0.21,69,9,49000.0,0.5,3900,0.9,31,116
3250,0.15,6.9,52.5,0.3,1.15,20200.0,0.5,8.0,1.8,21.0,3810,53,3450,287,0.3,0.8,6.0,62.5,1710000.0,1.12,661,2.4,0.05,0.24,108,42,2000.0,0.5,774,1.5,12,110
3180,0.2,6.7,51.1,0.3,1.08,19530.0,0.5,8.0,1.7,17.0,3720,57,3320,266,0.26,0.7,6.0,46.2,1700000.0,1.12,616,2.3,0.02,0.24,114,38,9000.0,0.5,758,1.3,11,110
21100,0.05,4.6,105.0,0.9,0.32,6040.0,0.5,29.0,17.6,18.0,27300,50,6190,1012,0.1,0.05,25.0,9.8,240000.0,0.51,4600,0.3,0.19,0.27,30,30,96000.0,0.5,1130,1.0,35,97
22200,0.2,9.8,109.0,0.8,0.34,6530.0,0.5,29.0,17.1,18.0,27000,50,6260,976,0.11,0.05,23.8,10.1,250000.0,0.51,4790,0.3,0.21,0.34,30,30,85000.0,0.5,4820,1.0,35,92
21100,0.05,10.0,111.0,0.9,0.31,6640.0,0.5,30.0,17.5,40.0,27900,50,6520,953,0.11,0.05,24.9,11.5,250000.0,0.53,4690,0.05,0.21,0.27,31,31,85000.0,0.6,5020,1.1,35,91
14120,0.05,7.8,55.4,0.6,0.14,7020.0,0.5,24.0,7.7,9.0,21400,20,2960,647,0.05,0.05,9.5,5.0,200000.0,0.8,1033,0.2,0.02,0.196,298,21,31000.0,0.5,3500,1.9,48,50
12430,0.05,7.5,48.4,0.5,0.12,5200.0,0.5,23.0,6.6,8.0,17240,18,2500,551,0.04,0.05,0.0,5.0,200000.0,0.77,846,0.3,0.07,0.189,229,18,37000.0,0.5,3670,1.7,44,44
12430,0.05,7.5,48.4,0.5,0.12,5200.0,0.5,23.0,6.6,8.0,17240,18,2500,551,0.04,0.05,0.0,5.0,200000.0,0.77,846,0.3,0.07,0.189,229,18,37000.0,0.5,3670,1.7,42,44
11920,0.7,3.2,55.2,0.4,0.12,37400.0,0.5,19.0,5.9,12.0,19060,14,5810,489,0.04,0.5,10.9,1.2,240000.0,0.77,2250,0.2,0.1,0.082,353,58,47000.0,0.5,2820,0.6,34,50
12110,0.3,3.0,54.0,0.4,0.07,40000.0,0.5,20.0,6.0,12.0,18850,14,5910,482,0.04,0.05,8.3,1.6,240000.0,0.68,2260,0.2,0.11,0.063,381,58,47000.0,0.5,3290,1.4,33,48
11690,0.4,3.2,51.8,0.4,0.1,41000.0,0.5,20.0,6.0,12.0,19320,14,5850,483,0.04,0.05,9.7,1.6,240000.0,0.7,2200,0.2,0.11,0.074,362,59,48000.0,0.5,3240,0.6,34,49
17700,0.3,3.0,118.0,0.6,0.29,8920.0,0.5,34.0,10.1,20.0,22700,20,6380,369,0.06,0.05,13.6,13.0,370000.0,1.06,2760,0.6,0.08,0.196,623,36,45000.0,0.5,3110,1.8,47,72
17860,0.12,2.4,120.0,0.7,0.32,9190.0,0.5,38.0,10.7,22.0,23600,21,6600,411,0.05,0.1,17.1,6.1,400000.0,1.05,3050,0.6,0.08,0.194,610,39,55000.0,0.5,2650,1.4,48,80
17580,0.4,2.8,114.0,0.7,0.28,8740.0,0.5,36.0,10.6,19.0,23700,21,6410,407,0.05,0.1,16.1,14.0,370000.0,1.06,2960,0.4,0.08,0.211,605,37,54000.0,0.5,2600,1.4,48,78
13660,0.05,1.6,99.1,0.4,0.22,6060.0,0.5,22.0,8.2,12.0,22400,27,6420,484,0.05,0.15,9.7,14.0,180000.0,0.98,1442,0.3,0.19,0.22,431,27,55000.0,0.5,3740,1.0,42,75
13710,0.05,1.5,105.0,0.5,0.29,6150.0,0.5,22.0,8.2,12.0,23500,23,6590,475,0.05,0.18,9.5,16.5,190000.0,0.98,1365,0.3,0.19,0.22,438,29,59000.0,0.8,3820,1.1,42,73
13290,0.05,1.1,104.0,0.5,0.29,5610.0,0.5,23.0,8.5,12.0,22300,25,6320,522,0.05,0.5,10.1,12.2,230000.0,0.93,1379,0.3,0.19,0.27,371,27,62000.0,0.5,3740,0.8,41,75
16790,0.2,1.6,58.5,0.5,0.19,17200.0,0.5,21.0,6.4,8.0,24700,17,3890,519,0.04,0.05,7.5,6.7,230000.0,1.19,2090,0.3,0.17,0.23,237,32,56000.0,0.5,3890,0.7,36,53
15970,0.05,1.6,59.1,0.5,0.15,14280.0,0.5,20.0,6.0,8.0,24400,16,3670,519,0.04,0.05,7.6,6.5,210000.0,1.23,1762,0.3,0.15,0.183,180,28,54000.0,0.5,4320,1.1,35,53
15650,0.1,1.6,58.9,0.5,0.16,14490.0,0.5,19.0,6.1,8.0,23300,17,3660,513,0.04,0.05,7.8,6.3,210000.0,1.23,1688,0.3,0.2,0.161,165,28,57000.0,1.0,4080,0.7,34,54
13340,0.08,15.0,67.8,0.5,0.2,6440.0,0.5,23.0,7.6,9.0,20500,76,3740,426,0.05,0.05,9.5,9.7,170000.0,0.95,2290,0.2,0.04,0.056,233,17,30000.0,0.5,762,0.7,34,52
13430,0.05,37.0,69.8,0.5,0.22,6890.0,0.5,22.0,7.4,10.0,20300,70,3860,405,0.04,0.1,9.1,12.0,210000.0,0.92,2510,0.4,0.02,0.044,240,17,38000.0,0.5,3550,1.0,33,53
14650,0.05,39.0,70.3,0.5,0.19,7170.0,0.5,23.0,7.6,9.0,20900,76,3930,426,0.04,0.16,9.7,9.9,220000.0,0.9,2540,0.4,0.07,0.041,252,19,44000.0,0.5,3720,0.9,34,53
15970,0.2,14.4,61.1,0.5,0.3,29200.0,0.5,17.0,8.1,65.0,26500,33,11370,1355,0.07,0.6,10.5,22.6,270000.0,0.82,2720,0.3,0.11,0.083,120,27,46000.0,0.6,3070,0.7,25,65
15040,0.1,12.1,60.9,0.5,0.28,24900.0,0.5,17.0,8.5,58.0,23100,28,10320,1313,0.08,0.7,10.7,20.2,300000.0,0.94,2550,0.3,0.15,0.092,136,28,47000.0,0.5,3250,0.7,27,62
8530,0.05,8.2,37.5,0.3,0.37,2160.0,0.5,13.0,4.1,6.0,18150,32,1424,692,0.07,0.6,5.0,0.7,210000.0,0.7,578,0.8,0.02,0.117,112,9,44000.0,0.5,3700,0.8,28,56
9180,0.6,7.5,35.3,0.3,0.35,2050.0,0.5,13.0,4.0,5.0,18380,30,1471,642,0.06,0.3,4.9,0.6,190000.0,0.82,583,0.8,0.04,0.061,205,8,35000.0,0.5,4110,0.8,28,55
8830,0.05,8.0,37.9,0.3,0.48,2670.0,0.5,14.0,4.4,6.0,18990,37,1593,719,0.08,0.3,5.4,0.9,220000.0,0.78,655,1.0,0.05,0.093,148,10,36000.0,0.5,3610,0.8,31,62
8990,0.4,2.2,118.0,0.4,0.45,5190.0,0.5,15.0,9.2,7.0,21100,22,2180,655,0.09,0.05,6.2,28.7,310000.0,0.91,783,0.6,0.15,0.057,192,17,39000.0,0.5,4850,1.7,47,86
8630,0.06,0.6,51.2,0.4,0.14,17080.0,0.5,15.0,5.8,10.0,16070,9,7140,391,0.0,0.05,7.7,5.0,120000.0,0.69,939,0.13,0.14,0.524,323,22,28000.0,0.5,3260,1.2,30,41
9020,0.2,0.6,52.5,0.4,0.14,16900.0,0.5,17.0,7.0,8.0,18210,10,7230,399,0.13,0.05,8.6,5.0,120000.0,0.73,1000,0.1,0.15,0.596,384,25,28000.0,0.5,3810,1.5,36,44
16160,0.15,1.8,208.0,0.5,0.33,4860.0,0.5,20.0,8.8,13.0,25800,31,4410,1360,0.09,0.05,10.7,5.0,400000.0,1.21,1145,0.2,0.16,0.077,269,23,41000.0,1.5,4180,0.5,44,114
17390,0.4,1.8,203.0,0.5,0.36,5150.0,0.5,25.0,10.1,9.0,31800,27,4580,1747,0.09,0.05,12.2,5.0,360000.0,1.14,1155,0.4,0.17,0.185,389,23,30000.0,0.5,4250,1.2,54,101
28400,0.09,2.5,156.0,1.0,0.21,5390.0,0.5,38.0,13.3,18.0,29600,40,7240,455,0.08,0.05,19.7,5.0,310000.0,0.78,4430,0.2,0.15,0.25,573,36,23000.0,0.5,4610,0.6,66,102
27400,0.2,2.6,166.0,0.9,0.24,5910.0,0.5,42.0,13.6,16.0,34400,42,8250,485,0.08,0.05,21.4,5.0,300000.0,0.74,4730,0.4,0.13,0.35,403,38,27000.0,0.5,4840,1.5,66,107
26500,0.4,2.6,165.0,0.9,0.3,6010.0,0.5,42.0,13.7,16.0,34100,43,8180,489,0.08,0.05,21.0,5.0,330000.0,0.74,4470,0.4,0.13,0.317,407,38,28000.0,0.5,4650,1.5,67,104
12340,0.2,2.9,56.6,0.4,0.21,7960.0,0.5,17.0,5.4,11.0,18780,23,3670,488,0.1,0.3,6.9,22.8,220000.0,0.86,1588,0.3,0.02,0.055,197,18,43000.0,0.5,2890,0.9,28,45
10300,0.1,3.0,48.9,0.4,0.22,6500.0,0.5,15.0,4.5,10.0,16110,22,3010,377,0.1,0.3,5.5,22.8,230000.0,0.87,1170,0.3,0.02,0.095,171,15,44000.0,0.5,2450,0.8,25,39
12310,0.05,2.9,57.0,0.4,0.25,6980.0,0.5,17.0,5.2,11.0,19030,22,3280,575,0.11,0.3,6.7,25.1,230000.0,0.86,1545,0.3,0.02,0.05,192,16,48000.0,0.5,2730,0.8,28,49
17090,0.05,2.3,70.9,0.5,0.22,4790.0,0.5,25.0,7.0,8.0,20500,18,3700,801,0.06,0.05,8.6,2.9,170000.0,0.57,1652,0.4,0.03,0.087,377,24,42000.0,0.5,3360,0.9,29,44
16010,0.05,2.2,70.6,0.5,0.24,5370.0,0.5,16.0,6.2,8.0,12960,17,3780,821,0.06,0.05,8.4,2.2,170000.0,0.58,1637,0.3,0.02,0.079,331,23,45000.0,0.5,3110,0.9,1,44
18150,0.4,16.8,99.6,0.8,0.26,3930.0,0.5,22.0,10.7,78.0,28700,48,3850,2660,0.1,0.05,18.9,13.0,170000.0,0.89,4180,0.4,0.16,0.469,119,24,40000.0,0.5,3000,1.8,40,76
18960,0.2,14.0,110.0,0.8,0.35,3640.0,0.5,24.0,11.8,93.0,29900,53,3670,3050,0.1,0.05,22.5,17.0,200000.0,1.05,4520,0.7,0.15,0.508,95,26,29000.0,0.5,2860,0.8,40,91
